assessment_id,assessment_name,canonical_url,test_type,skills_tags,canonical_text
A0001,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0002,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0003,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0004,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0005,ERROR: The request could not be satisfied,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0006,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0007,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0008,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0009,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0010,ERROR: The request could not be satisfied,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0011,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0012,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0013,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0014,ERROR: The request could not be satisfied,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0015,ERROR: The request could not be satisfied,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0016,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0017,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0018,ERROR: The request could not be satisfied,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0019,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0020,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0021,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0022,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0023,ERROR: The request could not be satisfied,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0024,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0025,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0026,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0027,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0028,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0029,ERROR: The request could not be satisfied,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0030,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0031,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0032,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0033,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0034,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0035,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0036,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0037,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0038,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0039,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0040,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0041,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0042,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0043,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0044,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0045,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0046,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0047,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
A0048,ERROR: The request could not be satisfied,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,K,,ERROR: The request could not be satisfied The request could not be satisfied.
